lat,long,popup,population
116.43,39.92,chaoyang,3473000
116.3,39.95,haidian,3235000
116.2,40.22,changping,2166000
116.28,39.85,fengtai,2025000
116.33,39.73,daxing,1712000
116.67,39.92,tongzhou,1675000
115.98,39.72,fangshan,1255000
116.65,40.13,shunyi,1228000
116.37,39.92,xicgeng,1137000
116.42,39.93,dongcheng,794000
117.1,40.13,pinggu,462000
116.22,39.9,shijingshan,570000
116.85,40.37,miyun,503000
116.62,40.32,huairou,422000
115.97,40.47,yanqing,357000
116.1,39.93,mentougou,331000
